id	text	task	eventType
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/4-154405-A-27.wav	none	human	brushing_teeth
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/5-221568-A-22.wav	none	human	clapping
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/4-157296-A-24.wav	none	human	coughing
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/4-218304-A-25.wav	none	human	footsteps
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/1-59324-A-21.wav	none	human	sneezing
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/3-138114-A-22.wav	none	human	clapping
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/5-235593-A-23.wav	none	human	breathing
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/5-218196-B-27.wav	none	human	brushing_teeth
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/4-194981-A-25.wav	none	human	footsteps
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/4-198025-A-23.wav	none	human	breathing
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/5-263775-A-26.wav	none	human	laughing
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/1-47923-A-28.wav	none	human	snoring
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/5-216368-A-28.wav	none	human	snoring
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/4-154405-B-27.wav	none	human	brushing_teeth
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/3-148330-A-21.wav	none	human	sneezing
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/3-124958-A-28.wav	none	human	snoring
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/2-66637-A-20.wav	none	human	crying_baby
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/2-109505-A-21.wav	none	human	sneezing
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/4-169726-A-24.wav	none	human	coughing
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/2-84965-A-23.wav	none	human	breathing
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/1-39937-A-28.wav	none	human	snoring
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/3-119459-A-26.wav	none	human	laughing
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/5-243635-A-29.wav	none	human	drinking_sipping
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/2-83536-A-27.wav	none	human	brushing_teeth
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/4-117630-A-25.wav	none	human	footsteps
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/1-30709-C-23.wav	none	human	breathing
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/2-93030-A-21.wav	none	human	sneezing
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/5-201274-A-21.wav	none	human	sneezing
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/1-56270-A-29.wav	none	human	drinking_sipping
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/1-105224-A-22.wav	none	human	clapping
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/5-198411-B-20.wav	none	human	crying_baby
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/1-40621-A-28.wav	none	human	snoring
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/3-125418-A-24.wav	none	human	coughing
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/4-172500-B-27.wav	none	human	brushing_teeth
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/5-178997-A-24.wav	none	human	coughing
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/5-51149-A-25.wav	none	human	footsteps
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/1-33658-A-26.wav	none	human	laughing
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/4-185415-A-21.wav	none	human	sneezing
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/2-85292-A-24.wav	none	human	coughing
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/3-142605-A-21.wav	none	human	sneezing
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/4-164243-A-26.wav	none	human	laughing
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/5-243025-A-25.wav	none	human	footsteps
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/4-132810-A-26.wav	none	human	laughing
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/5-253534-A-26.wav	none	human	laughing
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/4-167571-A-26.wav	none	human	laughing
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/1-36164-A-26.wav	none	human	laughing
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/3-144128-A-23.wav	none	human	breathing
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/3-177082-A-22.wav	none	human	clapping
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/2-122763-A-29.wav	none	human	drinking_sipping
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/4-183882-A-28.wav	none	human	snoring
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/4-204202-A-29.wav	none	human	drinking_sipping
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/5-202220-A-21.wav	none	human	sneezing
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/4-152995-A-24.wav	none	human	coughing
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/4-205738-A-22.wav	none	human	clapping
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/2-76408-A-22.wav	none	human	clapping
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/1-1791-A-26.wav	none	human	laughing
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/4-176914-A-23.wav	none	human	breathing
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/1-53444-A-28.wav	none	human	snoring
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/3-174866-A-29.wav	none	human	drinking_sipping
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/2-107351-B-20.wav	none	human	crying_baby
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/5-198411-F-20.wav	none	human	crying_baby
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/3-166125-A-23.wav	none	human	breathing
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/3-150231-A-21.wav	none	human	sneezing
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/3-144253-A-29.wav	none	human	drinking_sipping
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/4-184434-A-21.wav	none	human	sneezing
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/4-167077-A-20.wav	none	human	crying_baby
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/5-261464-A-23.wav	none	human	breathing
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/1-155858-F-25.wav	none	human	footsteps
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/1-67432-A-27.wav	none	human	brushing_teeth
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/4-218304-B-25.wav	none	human	footsteps
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/1-17092-A-27.wav	none	human	brushing_teeth
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/1-53663-A-24.wav	none	human	coughing
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/3-149042-A-24.wav	none	human	coughing
