id	text	task	eventType
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/4-141365-A-18.wav	none	nature	toilet_flush
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/5-207781-A-17.wav	none	nature	pouring_water
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/4-159609-A-14.wav	none	nature	chirping_birds
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/4-212604-C-15.wav	none	nature	water_drops
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/1-61221-A-17.wav	none	nature	pouring_water
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/3-142006-A-10.wav	none	nature	rain
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/5-215172-A-13.wav	none	nature	crickets
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/5-202540-A-18.wav	none	nature	toilet_flush
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/4-187504-B-17.wav	none	nature	pouring_water
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/4-188293-A-15.wav	none	nature	water_drops
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/5-261433-A-15.wav	none	nature	water_drops
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/1-51436-A-17.wav	none	nature	pouring_water
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/5-201664-A-18.wav	none	nature	toilet_flush
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/4-144083-A-16.wav	none	nature	wind
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/3-155583-A-14.wav	none	nature	chirping_birds
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/3-127874-A-17.wav	none	nature	pouring_water
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/2-39443-B-19.wav	none	nature	thunderstorm
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/2-102414-E-17.wav	none	nature	pouring_water
