id	text	task	eventType
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/4-119647-D-48.wav	none	urban	fireworks
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/5-197121-A-45.wav	none	urban	train
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/4-125929-A-40.wav	none	urban	helicopter
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/4-67358-A-42.wav	none	urban	siren
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/1-64398-B-41.wav	none	urban	chainsaw
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/3-138212-A-45.wav	none	urban	train
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/5-205898-A-40.wav	none	urban	helicopter
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/5-185579-A-41.wav	none	urban	chainsaw
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/4-186938-A-44.wav	none	urban	engine
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/4-191015-A-43.wav	none	urban	car_horn
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/5-253101-A-49.wav	none	urban	hand_saw
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/1-50661-A-44.wav	none	urban	engine
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/5-180156-C-43.wav	none	urban	car_horn
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/4-119648-A-48.wav	none	urban	fireworks
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/3-154926-B-40.wav	none	urban	helicopter
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/3-119120-C-48.wav	none	urban	fireworks
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/2-50668-B-41.wav	none	urban	chainsaw
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/2-106486-A-44.wav	none	urban	engine
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/4-156827-A-46.wav	none	urban	church_bells
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/2-70052-B-42.wav	none	urban	siren
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/1-46353-A-49.wav	none	urban	hand_saw
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/3-118972-B-41.wav	none	urban	chainsaw
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/5-222524-A-41.wav	none	urban	chainsaw
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/2-70052-A-42.wav	none	urban	siren
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/4-102844-B-49.wav	none	urban	hand_saw
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/1-25781-A-48.wav	none	urban	fireworks
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/2-78381-A-46.wav	none	urban	church_bells
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/5-170338-B-41.wav	none	urban	chainsaw
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/1-61261-A-44.wav	none	urban	engine
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/1-115545-C-48.wav	none	urban	fireworks
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/5-160614-D-48.wav	none	urban	fireworks
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/1-47250-A-41.wav	none	urban	chainsaw
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/3-119120-D-48.wav	none	urban	fireworks
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/4-161100-A-47.wav	none	urban	airplane
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/5-133989-A-42.wav	none	urban	siren
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/5-253101-C-49.wav	none	urban	hand_saw
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/1-31482-A-42.wav	none	urban	siren
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/4-165845-B-45.wav	none	urban	train
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/2-70936-A-42.wav	none	urban	siren
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/3-143562-A-47.wav	none	urban	airplane
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/4-147657-A-46.wav	none	urban	church_bells
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/5-219044-A-46.wav	none	urban	church_bells
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/4-102871-A-42.wav	none	urban	siren
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/5-243783-A-44.wav	none	urban	engine
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/4-150364-A-46.wav	none	urban	church_bells
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/1-31482-B-42.wav	none	urban	siren
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/3-146186-A-44.wav	none	urban	engine
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/3-68630-B-40.wav	none	urban	helicopter
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/2-117617-A-48.wav	none	urban	fireworks
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/4-165791-A-45.wav	none	urban	train
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/4-195451-A-44.wav	none	urban	engine
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/5-171653-A-41.wav	none	urban	chainsaw
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/4-119647-C-48.wav	none	urban	fireworks
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/4-198360-C-49.wav	none	urban	hand_saw
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/2-54086-A-43.wav	none	urban	car_horn
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/1-172649-E-40.wav	none	urban	helicopter
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/4-161105-B-47.wav	none	urban	airplane
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/1-54084-A-42.wav	none	urban	siren
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/3-68630-A-40.wav	none	urban	helicopter
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/2-106015-A-44.wav	none	urban	engine
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/5-160614-H-48.wav	none	urban	fireworks
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/3-58772-A-42.wav	none	urban	siren
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/3-157492-A-45.wav	none	urban	train
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/3-150979-A-40.wav	none	urban	helicopter
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/4-165845-A-45.wav	none	urban	train
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/4-147658-A-46.wav	none	urban	church_bells
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/5-251971-A-47.wav	none	urban	airplane
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/1-172649-A-40.wav	none	urban	helicopter
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/1-76831-D-42.wav	none	urban	siren
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/4-80761-A-42.wav	none	urban	siren
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/1-172649-B-40.wav	none	urban	helicopter
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/1-54747-A-46.wav	none	urban	church_bells
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/3-155130-A-43.wav	none	urban	car_horn
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/3-98869-A-46.wav	none	urban	church_bells
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/3-118657-A-41.wav	none	urban	chainsaw
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/2-106487-A-44.wav	none	urban	engine
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/1-88409-A-45.wav	none	urban	train
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/1-25777-A-48.wav	none	urban	fireworks
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/2-43802-A-42.wav	none	urban	siren
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/5-253101-B-49.wav	none	urban	hand_saw
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/4-175000-A-40.wav	none	urban	helicopter
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/3-97909-B-49.wav	none	urban	hand_saw
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/4-161579-B-40.wav	none	urban	helicopter
/data1/kjq2/workplace/ContinualSpeechEE/Audio/ESC-50/2-122066-A-45.wav	none	urban	train
