id	text	task	eventType
/data1/kjq2/workplace/ContinualSpeechEE/Audio/MAVEN/387fe1dfe55067eb29e1fd4116d37af3_1-female.wav	After being ambushed by Sandinista forces at the Battle of San Fernando, Major Oliver Floyd's expedition of American Marines and Nicaraguan Provisional Guardsmen continued its advance into enemy-held territory in northern Nicaragua.	action	Attack
/data1/kjq2/workplace/ContinualSpeechEE/Audio/MAVEN/387fe1dfe55067eb29e1fd4116d37af3_1-male.wav	After being ambushed by Sandinista forces at the Battle of San Fernando, Major Oliver Floyd's expedition of American Marines and Nicaraguan Provisional Guardsmen continued its advance into enemy-held territory in northern Nicaragua.	action	Attack
/data1/kjq2/workplace/ContinualSpeechEE/Audio/MAVEN/387fe1dfe55067eb29e1fd4116d37af3_14-female.wav	According to author Neill Macaulay, he would attack only when the odds were heavily in his favor-when he clearly had the advantages of surprise, cover, and superior firepower.	action	Attack
/data1/kjq2/workplace/ContinualSpeechEE/Audio/MAVEN/387fe1dfe55067eb29e1fd4116d37af3_14-male.wav	According to author Neill Macaulay, he would attack only when the odds were heavily in his favor-when he clearly had the advantages of surprise, cover, and superior firepower.	action	Attack
/data1/kjq2/workplace/ContinualSpeechEE/Audio/MAVEN/c95e68565081126b5c949117e423695a_4-female.wav	The surprise attack in oblique order on the unsuspecting Austrian flank baffled Prince Charles; the Prince took several hours to realize that the main action was to his left, and not to his right.	action	Attack
/data1/kjq2/workplace/ContinualSpeechEE/Audio/MAVEN/c95e68565081126b5c949117e423695a_4-male.wav	The surprise attack in oblique order on the unsuspecting Austrian flank baffled Prince Charles; the Prince took several hours to realize that the main action was to his left, and not to his right.	action	Attack
/data1/kjq2/workplace/ContinualSpeechEE/Audio/MAVEN/39c2db9e18cd4a02b9aa8c1a3c58aab7_0-female.wav	On the afternoon of 22 May 2013, a British Army soldier, Fusilier Lee Rigby of the Royal Regiment of Fusiliers, was attacked and killed by Michael Adebolajo and Michael Adebowale near the Royal Artillery Barracks in Woolwich, southeast London.	action	Attack
/data1/kjq2/workplace/ContinualSpeechEE/Audio/MAVEN/39c2db9e18cd4a02b9aa8c1a3c58aab7_0-male.wav	On the afternoon of 22 May 2013, a British Army soldier, Fusilier Lee Rigby of the Royal Regiment of Fusiliers, was attacked and killed by Michael Adebolajo and Michael Adebowale near the Royal Artillery Barracks in Woolwich, southeast London.	action	Attack
/data1/kjq2/workplace/ContinualSpeechEE/Audio/MAVEN/39c2db9e18cd4a02b9aa8c1a3c58aab7_1-female.wav	Rigby was off duty and walking along Wellington Street when he was attacked.	action	Attack
/data1/kjq2/workplace/ContinualSpeechEE/Audio/MAVEN/39c2db9e18cd4a02b9aa8c1a3c58aab7_1-male.wav	Rigby was off duty and walking along Wellington Street when he was attacked.	action	Attack
/data1/kjq2/workplace/ContinualSpeechEE/Audio/MAVEN/39c2db9e18cd4a02b9aa8c1a3c58aab7_12-female.wav	The attack was condemned by political and Muslim leaders in the United Kingdom and in the international press.	action	Attack
/data1/kjq2/workplace/ContinualSpeechEE/Audio/MAVEN/39c2db9e18cd4a02b9aa8c1a3c58aab7_12-male.wav	The attack was condemned by political and Muslim leaders in the United Kingdom and in the international press.	action	Attack
/data1/kjq2/workplace/ContinualSpeechEE/Audio/MAVEN/c1ae08941a115c7d45e205724e5aa3be_22-female.wav	It subsequently relates how for several days he plundered the countryside around Bayonne before assaulting the city's walls with siege engines brought from Aragon.	action	Attack
