id	text	task	eventType
/data1/kjq2/workplace/ContinualSpeechEE/Audio/MAVEN/39c2db9e18cd4a02b9aa8c1a3c58aab7_7-female.wav	The assailants, armed with a cleaver and brandishing a gun, charged at the police, who fired shots that wounded them both.	life	Bodily_harm
/data1/kjq2/workplace/ContinualSpeechEE/Audio/MAVEN/39c2db9e18cd4a02b9aa8c1a3c58aab7_7-male.wav	The assailants, armed with a cleaver and brandishing a gun, charged at the police, who fired shots that wounded them both.	life	Bodily_harm
/data1/kjq2/workplace/ContinualSpeechEE/Audio/MAVEN/c1ae08941a115c7d45e205724e5aa3be_25-female.wav	In the words of the Chronica: Count Pedro asked the Count of Toulouse for single combat (comes Petrus petiit comiti Tolosano singulare certamen), both went out to fight much like two strong lions (sicut duo leones fortes), and Count Pedro was wounded by Alfonso's lance and, falling from his horse, broke his arm and died a few days later (et vulneratus est comes Petrus ab hasta comitis Adefonsi et, cadens de equo, fractum est brachium eius et post paucos dies mortuus est).	life	Bodily_harm
/data1/kjq2/workplace/ContinualSpeechEE/Audio/MAVEN/c1ae08941a115c7d45e205724e5aa3be_25-male.wav	In the words of the Chronica: Count Pedro asked the Count of Toulouse for single combat (comes Petrus petiit comiti Tolosano singulare certamen), both went out to fight much like two strong lions (sicut duo leones fortes), and Count Pedro was wounded by Alfonso's lance and, falling from his horse, broke his arm and died a few days later (et vulneratus est comes Petrus ab hasta comitis Adefonsi et, cadens de equo, fractum est brachium eius et post paucos dies mortuus est).	life	Bodily_harm
/data1/kjq2/workplace/ContinualSpeechEE/Audio/MAVEN/18c0a40cf42e426b9b413875ff85c53f_9-female.wav	Five wrestlers sustained legitimate injuries during the course of the show.	life	Bodily_harm
/data1/kjq2/workplace/ContinualSpeechEE/Audio/MAVEN/18c0a40cf42e426b9b413875ff85c53f_9-male.wav	Five wrestlers sustained legitimate injuries during the course of the show.	life	Bodily_harm
/data1/kjq2/workplace/ContinualSpeechEE/Audio/MAVEN/54995af8da07c1b490d9a5ccd5df9d73_42-female.wav	Rodriguez dove to low altitude in order to clutter Sayhood's radar and break the lock-on, and dropped flares to counter his adversary's infra-red search-and-track.	life	Bodily_harm
/data1/kjq2/workplace/ContinualSpeechEE/Audio/MAVEN/54995af8da07c1b490d9a5ccd5df9d73_42-male.wav	Rodriguez dove to low altitude in order to clutter Sayhood's radar and break the lock-on, and dropped flares to counter his adversary's infra-red search-and-track.	life	Bodily_harm
/data1/kjq2/workplace/ContinualSpeechEE/Audio/MAVEN/0b6f831feed9b82c0360d3cb55102216_1-female.wav	Seung-Hui Cho, an undergraduate student at the university and a U.S. resident of South Korean origin, shot and killed 32 people and wounded 17 others with two semi-automatic pistols.	life	Bodily_harm
/data1/kjq2/workplace/ContinualSpeechEE/Audio/MAVEN/0b6f831feed9b82c0360d3cb55102216_1-male.wav	Seung-Hui Cho, an undergraduate student at the university and a U.S. resident of South Korean origin, shot and killed 32 people and wounded 17 others with two semi-automatic pistols.	life	Bodily_harm
/data1/kjq2/workplace/ContinualSpeechEE/Audio/MAVEN/0b6f831feed9b82c0360d3cb55102216_2-female.wav	Six others were injured jumping out of windows to escape Cho.	life	Bodily_harm
/data1/kjq2/workplace/ContinualSpeechEE/Audio/MAVEN/0b6f831feed9b82c0360d3cb55102216_2-male.wav	Six others were injured jumping out of windows to escape Cho.	life	Bodily_harm
