id	text	task	eventType
/data1/kjq2/workplace/ContinualSpeechEE/Audio/MAVEN/387fe1dfe55067eb29e1fd4116d37af3_17-female.wav	After the Battle of Santa Clara, the Sandinistas fell back to the jungles around El Chipote mountain, which was ideal country for guerrilla warfare.	move	Motion
/data1/kjq2/workplace/ContinualSpeechEE/Audio/MAVEN/387fe1dfe55067eb29e1fd4116d37af3_17-male.wav	After the Battle of Santa Clara, the Sandinistas fell back to the jungles around El Chipote mountain, which was ideal country for guerrilla warfare.	move	Motion
/data1/kjq2/workplace/ContinualSpeechEE/Audio/MAVEN/39c2db9e18cd4a02b9aa8c1a3c58aab7_2-female.wav	Adebolajo and Adebowale ran him down with a car, then used knives and a cleaver to stab and hack him to death.	move	Motion
/data1/kjq2/workplace/ContinualSpeechEE/Audio/MAVEN/39c2db9e18cd4a02b9aa8c1a3c58aab7_2-male.wav	Adebolajo and Adebowale ran him down with a car, then used knives and a cleaver to stab and hack him to death.	move	Motion
/data1/kjq2/workplace/ContinualSpeechEE/Audio/MAVEN/39c2db9e18cd4a02b9aa8c1a3c58aab7_3-female.wav	The men dragged Rigby's body into the road and remained at the scene until police arrived.	move	Motion
/data1/kjq2/workplace/ContinualSpeechEE/Audio/MAVEN/39c2db9e18cd4a02b9aa8c1a3c58aab7_3-male.wav	The men dragged Rigby's body into the road and remained at the scene until police arrived.	move	Motion
/data1/kjq2/workplace/ContinualSpeechEE/Audio/MAVEN/59d35dfd8d9fe91d66d11497d051aba5_13-female.wav	Vice-Admiral Valery Ryazantsev drew attention to systemic faults in the Russian Navy, such as the risky use of highly volatile HTP torpedoes known to have caused the sinking of .	move	Motion
/data1/kjq2/workplace/ContinualSpeechEE/Audio/MAVEN/59d35dfd8d9fe91d66d11497d051aba5_13-male.wav	Vice-Admiral Valery Ryazantsev drew attention to systemic faults in the Russian Navy, such as the risky use of highly volatile HTP torpedoes known to have caused the sinking of .	move	Motion
/data1/kjq2/workplace/ContinualSpeechEE/Audio/MAVEN/3c62de442b638d708d15c1e4213fe310_4-female.wav	Willett shot a bogey-free 67 to overtake Spieth when the leader faltered on the back nine.	move	Motion
/data1/kjq2/workplace/ContinualSpeechEE/Audio/MAVEN/3c62de442b638d708d15c1e4213fe310_4-male.wav	Willett shot a bogey-free 67 to overtake Spieth when the leader faltered on the back nine.	move	Motion
/data1/kjq2/workplace/ContinualSpeechEE/Audio/MAVEN/c0be3841d33a7eaa11ebf0cc021679ff_12-female.wav	Martin Luther King Jr. and the SCLC drew both criticism and praise for allowing children to participate and put themselves in harm's way.	move	Motion
/data1/kjq2/workplace/ContinualSpeechEE/Audio/MAVEN/c0be3841d33a7eaa11ebf0cc021679ff_12-male.wav	Martin Luther King Jr. and the SCLC drew both criticism and praise for allowing children to participate and put themselves in harm's way.	move	Motion
/data1/kjq2/workplace/ContinualSpeechEE/Audio/MAVEN/c0be3841d33a7eaa11ebf0cc021679ff_13-female.wav	The Birmingham campaign was a model of nonviolent direct action protest and, through the media, drew the world's attention to racial segregation in the South.	move	Motion
/data1/kjq2/workplace/ContinualSpeechEE/Audio/MAVEN/c0be3841d33a7eaa11ebf0cc021679ff_13-male.wav	The Birmingham campaign was a model of nonviolent direct action protest and, through the media, drew the world's attention to racial segregation in the South.	move	Motion
