id	text	task	eventType
/data1/kjq2/workplace/ContinualSpeechEE/Audio/MAVEN/387fe1dfe55067eb29e1fd4116d37af3_0-female.wav	The Battle of Santa Clara took place on 27 July 1927, during the American occupation of Nicaragua of 19261933.	process	Process_start
/data1/kjq2/workplace/ContinualSpeechEE/Audio/MAVEN/387fe1dfe55067eb29e1fd4116d37af3_0-male.wav	The Battle of Santa Clara took place on 27 July 1927, during the American occupation of Nicaragua of 19261933.	process	Process_start
/data1/kjq2/workplace/ContinualSpeechEE/Audio/MAVEN/387fe1dfe55067eb29e1fd4116d37af3_13-female.wav	The clash at Santa Clara, along with the previous battles at Ocotal and San Fernando (both of which also took place in July 1927) convinced Sandino to alter his tactics.	process	Process_start
/data1/kjq2/workplace/ContinualSpeechEE/Audio/MAVEN/387fe1dfe55067eb29e1fd4116d37af3_13-male.wav	The clash at Santa Clara, along with the previous battles at Ocotal and San Fernando (both of which also took place in July 1927) convinced Sandino to alter his tactics.	process	Process_start
/data1/kjq2/workplace/ContinualSpeechEE/Audio/MAVEN/268c4763208c87ed7ebf55565c274d23_9-female.wav	Twenty days after the city was cut off, Braithwaite began a bombardment of the defences.	process	Process_start
/data1/kjq2/workplace/ContinualSpeechEE/Audio/MAVEN/268c4763208c87ed7ebf55565c274d23_9-male.wav	Twenty days after the city was cut off, Braithwaite began a bombardment of the defences.	process	Process_start
/data1/kjq2/workplace/ContinualSpeechEE/Audio/MAVEN/c1ae08941a115c7d45e205724e5aa3be_0-female.wav	The Siege of Bayonne was launched by Alfonso the Battler, King of Aragon and Navarre, apparently against the Duke of Aquitaine, William X, and lasted from October 1130 to October 1131.	process	Process_start
/data1/kjq2/workplace/ContinualSpeechEE/Audio/MAVEN/c1ae08941a115c7d45e205724e5aa3be_0-male.wav	The Siege of Bayonne was launched by Alfonso the Battler, King of Aragon and Navarre, apparently against the Duke of Aquitaine, William X, and lasted from October 1130 to October 1131.	process	Process_start
/data1/kjq2/workplace/ContinualSpeechEE/Audio/MAVEN/c1ae08941a115c7d45e205724e5aa3be_3-female.wav	The siege began with knights, infantry, and siege engines and included the plundering of the environs of the city and assaults on its walls.	process	Process_start
/data1/kjq2/workplace/ContinualSpeechEE/Audio/MAVEN/c1ae08941a115c7d45e205724e5aa3be_3-male.wav	The siege began with knights, infantry, and siege engines and included the plundering of the environs of the city and assaults on its walls.	process	Process_start
/data1/kjq2/workplace/ContinualSpeechEE/Audio/MAVEN/c1ae08941a115c7d45e205724e5aa3be_18-female.wav	It had begun shortly before 16 October, if both the Chronica and the obituary of Burgos Cathedral are accurate.	process	Process_start
/data1/kjq2/workplace/ContinualSpeechEE/Audio/MAVEN/c1ae08941a115c7d45e205724e5aa3be_18-male.wav	It had begun shortly before 16 October, if both the Chronica and the obituary of Burgos Cathedral are accurate.	process	Process_start
/data1/kjq2/workplace/ContinualSpeechEE/Audio/MAVEN/045be42474c6c6225401d4b8cc03fe5e_4-female.wav	It was opened by Tony Tan Keng Yam, the President of Singapore at the Singapore Indoor Stadium.	process	Process_start
/data1/kjq2/workplace/ContinualSpeechEE/Audio/MAVEN/045be42474c6c6225401d4b8cc03fe5e_4-male.wav	It was opened by Tony Tan Keng Yam, the President of Singapore at the Singapore Indoor Stadium.	process	Process_start
/data1/kjq2/workplace/ContinualSpeechEE/Audio/MAVEN/5c2b32634deb09bf1c67e846cef14e44_1-female.wav	The Taiwan strait crisis began when the PRC seized the Yijiangshan Islands and forced the ROC to abandon the Tachen Islands, which were evacuated by the navies of the ROC and the US.	process	Process_start
/data1/kjq2/workplace/ContinualSpeechEE/Audio/MAVEN/5c2b32634deb09bf1c67e846cef14e44_1-male.wav	The Taiwan strait crisis began when the PRC seized the Yijiangshan Islands and forced the ROC to abandon the Tachen Islands, which were evacuated by the navies of the ROC and the US.	process	Process_start
/data1/kjq2/workplace/ContinualSpeechEE/Audio/MAVEN/f5f617fe0cbadf8fdbc06b0ecbe0be92_1-female.wav	It took place on September 21, 2014, at the Bridgestone Arena in Nashville, Tennessee, and was the eighth annual Night of Champions event.	process	Process_start
/data1/kjq2/workplace/ContinualSpeechEE/Audio/MAVEN/f5f617fe0cbadf8fdbc06b0ecbe0be92_1-male.wav	It took place on September 21, 2014, at the Bridgestone Arena in Nashville, Tennessee, and was the eighth annual Night of Champions event.	process	Process_start
/data1/kjq2/workplace/ContinualSpeechEE/Audio/MAVEN/59d35dfd8d9fe91d66d11497d051aba5_0-female.wav	The sinking of the nuclear-powered Kursk (Russian: ) took place during the first major Russian naval exercise in more than ten years, in the Barents Sea on 12 August 2000, killing all 118 personnel on board.	process	Process_start
/data1/kjq2/workplace/ContinualSpeechEE/Audio/MAVEN/59d35dfd8d9fe91d66d11497d051aba5_0-male.wav	The sinking of the nuclear-powered Kursk (Russian: ) took place during the first major Russian naval exercise in more than ten years, in the Barents Sea on 12 August 2000, killing all 118 personnel on board.	process	Process_start
/data1/kjq2/workplace/ContinualSpeechEE/Audio/MAVEN/b994d5a3e89bfd7a1dc5755c06891cf3_4-female.wav	Two days later the Germans began another gas attack but the wind turned and blew the gas back over the German lines.	process	Process_start
/data1/kjq2/workplace/ContinualSpeechEE/Audio/MAVEN/b994d5a3e89bfd7a1dc5755c06891cf3_4-male.wav	Two days later the Germans began another gas attack but the wind turned and blew the gas back over the German lines.	process	Process_start
/data1/kjq2/workplace/ContinualSpeechEE/Audio/MAVEN/4138a00b4f4788c95f8f0d047e60c5b4_1-female.wav	It began in Jackson, Mississippi, marking the second time that a major recording act had started a tour in that city (Maze being the first).	process	Process_start
/data1/kjq2/workplace/ContinualSpeechEE/Audio/MAVEN/4138a00b4f4788c95f8f0d047e60c5b4_1-male.wav	It began in Jackson, Mississippi, marking the second time that a major recording act had started a tour in that city (Maze being the first).	process	Process_start
/data1/kjq2/workplace/ContinualSpeechEE/Audio/MAVEN/1d019f861c90f2ecf4b6c0ac826efb76_1-female.wav	The wave of civil demonstrations started in January 2012, once with the introduction of a new health reform legislation.	process	Process_start
