id	text	task	eventType
/data1/kjq2/workplace/ContinualSpeechEE/Audio/MAVEN/eeb1b3357c409a5f55f45158ce2a62e5_2-female.wav	When Flight 5634 was nearing Paris, a Korean Air Boeing 747 burst a tire on landing, causing controllers to close the runway briefly.	talk	Causation
/data1/kjq2/workplace/ContinualSpeechEE/Audio/MAVEN/eeb1b3357c409a5f55f45158ce2a62e5_2-male.wav	When Flight 5634 was nearing Paris, a Korean Air Boeing 747 burst a tire on landing, causing controllers to close the runway briefly.	talk	Causation
/data1/kjq2/workplace/ContinualSpeechEE/Audio/MAVEN/59d35dfd8d9fe91d66d11497d051aba5_16-female.wav	Two minutes and fifteen seconds after the initial blast, the sub was on the bottom when the intense initial fire triggered the detonation of between five and seven torpedo warheads.	talk	Causation
/data1/kjq2/workplace/ContinualSpeechEE/Audio/MAVEN/59d35dfd8d9fe91d66d11497d051aba5_16-male.wav	Two minutes and fifteen seconds after the initial blast, the sub was on the bottom when the intense initial fire triggered the detonation of between five and seven torpedo warheads.	talk	Causation
/data1/kjq2/workplace/ContinualSpeechEE/Audio/MAVEN/b994d5a3e89bfd7a1dc5755c06891cf3_5-female.wav	A large number of German casualties were caused by the change in the wind direction and the decision to go ahead against protests by local officers, which were increased by British troops, who fired on German soldiers as they fled in the open.	talk	Causation
/data1/kjq2/workplace/ContinualSpeechEE/Audio/MAVEN/b994d5a3e89bfd7a1dc5755c06891cf3_5-male.wav	A large number of German casualties were caused by the change in the wind direction and the decision to go ahead against protests by local officers, which were increased by British troops, who fired on German soldiers as they fled in the open.	talk	Causation
/data1/kjq2/workplace/ContinualSpeechEE/Audio/MAVEN/15f032e838d8b3f1ab0023eb3b45281d_5-female.wav	Jackson's death triggered reactions around the world, creating unprecedented surges of internet traffic and dramatically boosting sales of his music.	talk	Causation
/data1/kjq2/workplace/ContinualSpeechEE/Audio/MAVEN/15f032e838d8b3f1ab0023eb3b45281d_5-male.wav	Jackson's death triggered reactions around the world, creating unprecedented surges of internet traffic and dramatically boosting sales of his music.	talk	Causation
/data1/kjq2/workplace/ContinualSpeechEE/Audio/MAVEN/76d5454e5f0d698685d9ce66ea7ef420_3-female.wav	The accident was caused by Senator Edward M. (Ted) Kennedy's negligence and resulted in the death of his 28-year-old passenger Mary Jo Kopechne, who was trapped inside the vehicle.	talk	Causation
/data1/kjq2/workplace/ContinualSpeechEE/Audio/MAVEN/76d5454e5f0d698685d9ce66ea7ef420_3-male.wav	The accident was caused by Senator Edward M. (Ted) Kennedy's negligence and resulted in the death of his 28-year-old passenger Mary Jo Kopechne, who was trapped inside the vehicle.	talk	Causation
